Nfur_Accession	Nfur_Description	Nfur_Symbol	Human_Symbol
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5T2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2Z1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10J1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR12D2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2B6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10Q1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10G7
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6Q1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4F17
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4D5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5V1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8H3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2J3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6J1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4D11
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10K2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7G1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2Y1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4F4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5J2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4D6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8H2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR3A2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1J1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8B3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7G3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6C6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5M9
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4A47
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8H1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5AR1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10A7
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1M1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5AN1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7C1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1J2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR52H1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6C74
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR3A3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5M3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4C5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR51A4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4C3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR11H4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13C2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7G2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4N4C
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8K1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	LINC02203
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR51T1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10A6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5A1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2B3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR51A7
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T12
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10G2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1A1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10D3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2S2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5M8
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5AS1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4M2-OT1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6N2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2M3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10Z1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1D5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6C76
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR9G1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7A5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6C4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2W3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6K2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2W1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR9Q2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2B2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5D14
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR56B2P
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4N4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6C70
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4F15
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8B2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6P1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6N1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR51A2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2L13
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13C5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13C3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10A3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8I2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5L2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6C75
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1F1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2M7
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5A2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2A4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13C4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5W2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4K2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4C6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4F6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2AJ1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2M4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10G3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2M2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7E24
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR3A1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13F1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8S1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5AP2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4S2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4M1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6F1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2C3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2A7
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2AP1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10AD1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5D13
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6C65
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2AG2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4S1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR1G1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2T6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8K5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR8B4
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4K13
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4L1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4K17
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR51F2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4M2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10P1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7A17
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4K14
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR13J1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4C16
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4C15
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4M2B
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5L1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10AG1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6B2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4K1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2A25
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4C13
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2D3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4N5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2H2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4A5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10A2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6B1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR11H6
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4K15
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR5D18
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2M5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7A10
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2V2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4C12
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4A15
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2AG1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2G2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2V1
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR7C2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4N2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4Q3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR10A5
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR4A16
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2G3
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR2D2
XP_015807337.1	olfactory receptor 10A3-like	LOC107380549	OR6A2
XP_015807339.1	olfactory receptor 2AT4-like	LOC107380552	OR6C1
XP_015807339.1	olfactory receptor 2AT4-like	LOC107380552	OR5D3P
XP_015807342.1	olfactory receptor 52N5-like	LOC107380554	OR4X1
XP_015807343.1	olfactory receptor 1-like	LOC107380555	OR6V1
XP_015807344.1	olfactory receptor 52Z1-like	LOC107380556	OR14L1
XP_015807344.1	olfactory receptor 52Z1-like	LOC107380556	OR14K1
XP_015807344.1	olfactory receptor 52Z1-like	LOC107380556	OR5AK2
XP_015807345.1	olfactory receptor 52B2-like	LOC107380557	OR51B5
XP_015807348.1	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta	pde6b	PDE6B
XP_015807348.1	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta	pde6b	PDE6A
XP_015807349.1	otolin-1	otol1	OTOL1
XP_015807359.1	sulfate anion transporter 1	slc26a1	SLC26A2
XP_015807368.1	extracellular calcium-sensing receptor-like	LOC107380583	GPRC6A
XP_015807374.1	RAS protein activator like-3-like isoform X1	LOC107380586	RASAL3
XP_015807383.1	ras GTPase-activating protein nGAP-like isoform X2	LOC107380586	RASAL3
XP_015807394.1	E3 ubiquitin/ISG15 ligase TRIM25-like	LOC107380604	TRIM25
XP_015807401.1	transmembrane protease serine 5-like	LOC107380615	TMPRSS4
XP_015807401.1	transmembrane protease serine 5-like	LOC107380615	ACR
XP_015807401.1	transmembrane protease serine 5-like	LOC107380615	TMPRSS5
XP_015807401.1	transmembrane protease serine 5-like	LOC107380615	PRSS54
XP_015807401.1	transmembrane protease serine 5-like	LOC107380615	F11
XP_015807403.1	suppressor of tumorigenicity 14 protein homolog	LOC107380617	ST14
XP_015807404.1	trehalase	treh	TREH
XP_015807410.1	proton-coupled folate transporter-like	LOC107380625	SLC46A1
XP_015807411.1	5-hydroxytryptamine receptor 4-like isoform X1	LOC107380623	HTR4
XP_015807412.1	kelch repeat and BTB domain-containing protein 3	kbtbd3	KBTBD3
XP_015807413.1	myb/SANT-like DNA-binding domain-containing protein 4	msantd4	MSANTD4
XP_015807417.1	5-hydroxytryptamine receptor 4-like isoform X2	LOC107380623	HTR4
XP_015807418.1	zinc finger B-box domain-containing protein 1	zbbx	ZBBX
XP_015807419.1	WD repeat-containing protein 49	wdr49	WDR49
XP_015807419.1	WD repeat-containing protein 49	wdr49	WDR64
XP_015807423.1	olfactory receptor 52B2-like	LOC107380639	ENSG00000239395
XP_015807424.1	olfactory receptor 52E4-like	LOC107380641	OR14A2
XP_015807425.1	putative gustatory receptor clone PTE03	LOC107380642	OR14I1
XP_015807428.1	succinate receptor 1	sucnr1	SUCNR1
XP_015807439.1	protocadherin Fat 2	fat2	FAT2
XP_015807450.1	SH3 domain-binding glutamic acid-rich protein isoform X7	sh3bgr	SH3BGR
XP_015807456.1	proton-coupled amino acid transporter 1-like	LOC107380671	SLC36A1
XP_015807456.1	proton-coupled amino acid transporter 1-like	LOC107380671	SLC36A4
XP_015807456.1	proton-coupled amino acid transporter 1-like	LOC107380671	SLC36A2
XP_015807456.1	proton-coupled amino acid transporter 1-like	LOC107380671	SLC36A3
XP_015807457.1	tail-anchored protein insertion receptor WRB	wrb	GET1
XP_015807457.1	tail-anchored protein insertion receptor WRB	wrb	GET1-SH3BGR
XP_015807459.1	bromodomain and WD repeat-containing protein 1 isoform X1	brwd1	BRWD1
XP_015807460.1	bromodomain and WD repeat-containing protein 1 isoform X2	brwd1	BRWD1
XP_015807461.1	mitochondrial intermediate peptidase	mipep	MIPEP
XP_015807462.1	tumor necrosis factor receptor superfamily member 19	tnfrsf19	TNFRSF19
XP_015807462.1	tumor necrosis factor receptor superfamily member 19	tnfrsf19	EDA2R
XP_015807464.1	sacsin	sacs	SACS
XP_015807465.1	gamma-sarcoglycan	sgcg	SGCG
XP_015807466.1	clathrin heavy chain 1-like isoform X1	LOC107380680	CLTC
XP_015807467.1	clathrin heavy chain 1-like isoform X2	LOC107380680	CLTC
XP_015807468.1	copper transport protein ATOX1	atox1	ATOX1
XP_015807469.1	clathrin heavy chain 1-like isoform X3	LOC107380680	CLTC
XP_015807470.1	clathrin heavy chain 1-like isoform X4	LOC107380680	CLTC
XP_015807472.1	cilia- and flagella-associated protein 45-like	LOC107380681	CFAP45
XP_015807473.1	vasodilator-stimulated phosphoprotein-like	LOC107380682	VASP
XP_015807474.1	glucose-6-phosphate translocase	slc37a4	SLC37A4
XP_015807475.1	trafficking protein particle complex subunit 4	trappc4	TRAPPC4
XP_015807476.1	40S ribosomal protein S25	rps25	RPS25
XP_015807477.1	small nuclear ribonucleoprotein Sm D2	snrpd2	SNRPD2
XP_015807479.1	peptidoglycan-recognition protein SC2-like	LOC107380689	PGLYRP4
XP_015807479.1	peptidoglycan-recognition protein SC2-like	LOC107380689	PGLYRP1
XP_015807479.1	peptidoglycan-recognition protein SC2-like	LOC107380689	PGLYRP3
XP_015807480.1	SPARC	sparc	SPARC
XP_015807481.1	DNA-directed RNA polymerase II subunit RPB9	polr2i	POLR2I
XP_015807482.1	dapper homolog 3-like	LOC107380691	DACT3
XP_015807483.1	C5a anaphylatoxin chemotactic receptor 1-like	LOC107380692	C5AR2
XP_015807484.1	GRAM domain-containing protein 1B	gramd1b	GRAMD1B
XP_015807485.1	CXADR-like membrane protein	LOC107380695	CLMP
XP_015807485.1	CXADR-like membrane protein	LOC107380695	SLAMF6
XP_015807489.1	kin of IRRE-like protein 3 isoform X3	kirrel3	KIRREL3
XP_015807492.1	ras GTPase-activating protein-binding protein 1	g3bp1	G3BP1
XP_015807492.1	ras GTPase-activating protein-binding protein 1	g3bp1	G3BP2
XP_015807494.1	kin of IRRE-like protein 3 isoform X7	kirrel3	KIRREL3
XP_015807496.1	protein prune homolog	prune	PRUNE1
XP_015807496.1	protein prune homolog	prune	PRUNE2
XP_015807498.1	bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein	LOC107380700	BNIPL
XP_015807499.1	protein C-ets-1	ets1	ETS2
XP_015807499.1	protein C-ets-1	ets1	ETS1
XP_015807500.1	Friend leukemia integration 1 transcription factor isoform X1	fli1	FLI1
XP_015807501.1	Friend leukemia integration 1 transcription factor isoform X2	fli1	FLI1
XP_015807501.1	Friend leukemia integration 1 transcription factor isoform X2	fli1	ERG
XP_015807505.1	glycine receptor subunit alpha-1 isoform X1	glra1	GLRA1
XP_015807506.1	ATP-sensitive inward rectifier potassium channel 1	kcnj1	KCNJ1
XP_015807507.1	G protein-activated inward rectifier potassium channel 4	kcnj5	KCNJ5
XP_015807508.1	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4	st3gal4	ST3GAL4
XP_015807508.1	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4	st3gal4	ST3GAL6
XP_015807509.1	toll/interleukin-1 receptor domain-containing adapter protein	tirap	TIRAP
XP_015807511.1	signal recognition particle receptor subunit alpha	srpra	SRPRA
XP_015807512.1	beta-galactosidase-1-like protein 2 isoform X1	LOC107380711	GLB1L2
XP_015807512.1	beta-galactosidase-1-like protein 2 isoform X1	LOC107380711	GLB1L3
XP_015807514.1	beta-galactosidase-1-like protein 2 isoform X3	LOC107380711	GLB1L3
XP_015807515.1	acetolactate synthase-like protein isoform X1	ilvbl	ILVBL
XP_015807516.1	acetolactate synthase-like protein isoform X2	ilvbl	ILVBL
XP_015807517.1	protein FAM118B	fam118b	FAM118B
XP_015807517.1	protein FAM118B	fam118b	FAM118A
XP_015807519.1	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 isoform X2	LOC107380714	B3GAT1
XP_015807521.1	transforming growth factor beta regulator 1 isoform X1	tbrg1	TBRG1
XP_015807522.1	transforming growth factor beta regulator 1 isoform X2	tbrg1	TBRG1
XP_015807523.1	matrix metalloproteinase-20-like	LOC107380716	MMP26
XP_015807523.1	matrix metalloproteinase-20-like	LOC107380716	MMP12
XP_015807523.1	matrix metalloproteinase-20-like	LOC107380716	MMP20
XP_015807524.1	collagenase 3	mmp13	MMP1
XP_015807524.1	collagenase 3	mmp13	MMP3
XP_015807524.1	collagenase 3	mmp13	MMP10
XP_015807524.1	collagenase 3	mmp13	MMP8
XP_015807524.1	collagenase 3	mmp13	MMP13
XP_015807528.1	tsukushin isoform X2	tsku	TSKU
XP_015807529.1	retinal guanylyl cyclase 2-like	LOC107380720	GUCY2D
XP_015807529.1	retinal guanylyl cyclase 2-like	LOC107380720	GUCY2F
XP_015807532.1	THO complex subunit 3	thoc3	THOC3
XP_015807534.1	serpin H1	serpinh1	SERPINH1
XP_015807535.1	glycerophosphodiester phosphodiesterase domain-containing protein 5-like	LOC107380722	GDPD5
XP_015807535.1	glycerophosphodiester phosphodiesterase domain-containing protein 5-like	LOC107380722	GDPD2
XP_015807535.1	glycerophosphodiester phosphodiesterase domain-containing protein 5-like	LOC107380722	GDPD4
XP_015807536.1	LIM/homeobox protein Lhx1	lhx1	LHX1
XP_015807537.1	breast carcinoma-amplified sequence 3	bcas3	BCAS3
XP_015807538.1	T-box transcription factor TBX2	tbx2	TBX2
XP_015807539.1	T-box transcription factor TBX4	tbx4	TBX4
XP_015807540.1	Fanconi anemia group J protein	brip1	BRIP1
XP_015807541.1	CDGSH iron-sulfur domain-containing protein 1	cisd1	CISD1
XP_015807543.1	protein phosphatase 1D	ppm1d	PPM1D
XP_015807544.1	ubiquitin carboxyl-terminal hydrolase 32	usp32	USP32
XP_015807544.1	ubiquitin carboxyl-terminal hydrolase 32	usp32	USP6
XP_015807545.1	amyloid protein-binding protein 2	appbp2	APPBP2
XP_015807548.1	transmembrane protein 97	tmem97	TMEM97
XP_015807550.1	dehydrogenase/reductase SDR family member 13-like	LOC107380735	DHRS13
XP_015807553.1	nanos homolog 2-like	LOC107380737	NANOS2
XP_015807559.1	aldehyde dehydrogenase, dimeric NADP-preferring-like	LOC107380742	ALDH3A2
XP_015807559.1	aldehyde dehydrogenase, dimeric NADP-preferring-like	LOC107380742	ALDH3A1
XP_015807562.1	protein-tyrosine sulfotransferase 1	tpst1	TPST2
XP_015807562.1	protein-tyrosine sulfotransferase 1	tpst1	TPST1
XP_015807564.1	beta,beta-carotene 9',10'-oxygenase isoform X1	bco2	BCO2
